"Logout","Esci"
"This is a demo: SXDrive cannot be used to access this cluster.","Questa è una demo: SXDrive non può essere usato per accedere a questo cluster."
"QR Code for Android:","QR Code per Android:"
"QR Code for iOS:","QR Code per iOS:"
"Secret Key:","Chiave segreta:"
"Secret Key","Chiave segreta"
"Download SXDrive Cluster Config","Scarica il file di configurazione per SXDrive"
"(You can download SXDrive for Desktop here:","(Puoi scaricare SXDrive per Desktop qui:"
"Size: %s of %s used","Dimensione: %s di %s in uso"
"Usage: %s of %s","Utilizzo: %s di %s"
"Volumes (%d)","Volumi (%d)"
"Invalid input.","Input non valido."
"Copy failed.","Copia fallita."
"Files successfully copied.","File copiati con successo."
"Internal error.","Errore interno."
"Move failed.","Spostamento fallito."
"File(s) successfully moved.","File spostato/i con successo."
"Invalid destination name.","Nome file di destinazione non valido."
"Invalid destination path.","Path di destinazione non valido."
"Rename failed.","Rinomina fallito."
"File not found or invalid.","File non trovato o non valido."
"Invalid expire time","Tempo di vita non valido"
"Failed to create the file share link.","Non ho potuto creare il link di condivisione."
"Invalid shared file key","Chiave di condivisione non valida"
"File not found or expired.","File non trovato o link scaduto."
"Too many concurrent downloads!","Stai effettuando troppi scaricamenti contemporanei!"
"Please wait a minute and retry.","Per favore attendi un minuto e riprova."
"File not found!","File non trovato!"
"The file &quot;%s&quot; was not found.","Il file  &quot;%s&quot; non è stato trovato."
"Invalid file type!","Tipo di file non valido!"
"The file &quot;%s&quot; can't be downloaded.","Il file &quot;%s&quot; non può essere scaricato."
"Internal error, please retry later.","Errore interno, per favore riprova più tardi."
"Invalid password! <a href=""%s"">Retry...</a>","Password non valida! <a href=""%s"">Riprova...</a>"
"Invalid path.","Path non valido."
"Failed to create directory","Creazione cartella fallita"
"Internal error: failed to create directory","Errore interno: creazione cartella fallita"
"Invalid directory name","Nome cartella non valido"
"Failed to delete files.","Eliminazione file fallita."
"Files successfully deleted.","File eliminati con successo."
"Check your config, upload dir is empty.","Controlla la configurazione, la directory per gli upload è vuota."
"Internal error!","Errore interno!"
"Application encountered an internal error. Please retry in a few seconds.","Errore interno nell'applicazione. Per favore riprova tra pochi secondi."
"Volume unlock failed. Wrong password!","Accesso al volume fallito. Password errata!"
"Volume unlock failed.","Accesso al volume fallito."
"Incorrect password.","Password errata."
"Index of %s","Indice di %s"
"No write access to this volume.","Non hai accesso in scrittura a questo volume."
"No read access to this volume.","Non hai accesso in lettura a questo volume."
"Continue browsing files...","Continua a navigare tra i file..."
"Too many concurrent downloads!","Stai effettuando troppi scaricamenti contemporanei!"
"Please wait a minute and retry.","Per favore attendi un minuto e riprova."
"File not found!","File non trovato!"
"The file &quot;%s&quot; was not found.","Il file &quot;%s&quot; non è stato trovato."
"Invalid file type!","Tipo di file non valido!"
"The file &quot;%s&quot; can't be downloaded.","Il file &quot;%s&quot; non può essere scaricato."
"File not found!","File non trovato!"
"Internal error!","Errore interno!"
"Application encountered an internal error.","Errore interno nell'applicazione."
"This is a demo!","Questa è una demo!"
"SXWeb is running in demo mode.","SXWeb sta girando in modalita demo."
"Some functionality are removed or not usable.","Alcune funzioni sono rimosse o disabilitate."
"Please upgrade to a normal version.","Per favore utilizza la versione normale."
"Go to the home page...","Vai alla home page..."
"Thank you!","Grazie!"
"Username or password are wrong, please retry.","Nome utente o password errati, per favore riprova."
"Upgrade to SX Enterprise Edition to enable full-text search in SXWeb: %s","Aggiorna a SX Enterprise Edition per abilitare la ricerca full-text in SXWeb: %s"
"Search engine is unavailable. Contact your sysadmin.","Motore di ricerca non disponibile. Contatta il tuo sysadmin."
"Invalid search parameters, please retry.","Parametri di ricerca non validi, per favore riprova."
"Invalid search parameters.","Parametri di ricerca non validi."
"Invalid input.","Dati in ingresso non validi."
"Revisions","Revisioni"
"Path not found or revisions not supported.","Percorso non trovato o revisioni non supportate."
"Revision successfully copied.","Revisione copiata con successo."
"Failed to copy the revision.","Copia della revisione fallita."
"Internal error.","Errore interno."
"Revision not found!","Revisione non trovata!"
"The requested revisions was not found","La revisione richiesta non è stata trovata"
"The file &quot;%s&quot; was not found.","Il file &quot;%s&quot; non è stato trovato."
"Invalid file type!","Tipo di file non valido!"
"The file &quot;%s&quot; can't be downloaded.","Il file &quot;%s&quot; non può essere scaricato."
"Internal error!","Errore interno!"
"Application encountered an internal error.","L'applicazione è andata incontro ad un errore interno."
"File Revisions","Revisioni dei file"
"File: <strong>%s</strong>","File: <strong>%s</strong>"
"No revisions found.","Nessuna revisione trovata."
"Available revisions (most recent first):","Revisioni disponibili (dalla più recente):"
"Download this revision","Scarica questa revisione"
"Rev. %d","Rev. %d"
"Restore","Ripristina"
"Cancel","Annulla"
"Failed to create temporary directory","Creazione della directory temporanea fallita"
"Update failed: the current password isn't valid.","Aggiornamento fallito: la password corrente non è valida."
"Internal error: update failed.","Errore interno: aggiornamento fallito."
"Account preferences successfully updated.","Preferenze dell'account aggiornate con successo."
"Language","Lingua"
"You can download SXDrive here:","Puoi scaricare SXDrive qui:"
"SXDrive downloads","Scarica SXDrive"
"Account management is currently disabled.","La modifica delle informazioni dell'account è attualmente disabilitata."
"Invalid credentials!","Credenziali non valide!"
"Your credentials are changed, please authenticate again.","Le tue credenziali sono cambiate, per piacere autenticati di nuovo."
"Sign in again...","Autorizzami di nuovo..."
"Lets you sign in again","Ti permette di accreditarti di nuovo"
"Preview this revision","Anteprima della revisione"
"Rev.","Rev."
